Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Bahrain,2023,BOT,Alfa Romeo,35.0,97.817,31.277,42.617,23.923,HARD,6.0,230.0,244.0,277.0,289.0,43.244,0.1783
Bahrain,2023,BOT,Alfa Romeo,36.0,97.827,31.342,42.528,23.957,HARD,7.0,230.0,244.0,277.0,290.0,43.262,0.0601
Bahrain,2023,BOT,Alfa Romeo,37.0,97.774,31.238,42.584,23.952,HARD,8.0,231.0,244.0,277.0,287.0,44.131,0.0263
Bahrain,2023,BOT,Alfa Romeo,38.0,97.658,31.311,42.406,23.941,HARD,9.0,230.0,245.0,277.0,288.0,43.239,0.0671
Bahrain,2023,BOT,Alfa Romeo,39.0,97.784,31.376,42.467,23.941,HARD,10.0,231.0,245.0,277.0,288.0,43.055,0.0674
Bahrain,2023,BOT,Alfa Romeo,42.0,97.736,31.22,42.609,23.907,HARD,13.0,234.0,244.0,278.0,293.0,43.002,0.0635
Bahrain,2023,BOT,Alfa Romeo,43.0,97.813,31.253,42.525,24.035,HARD,14.0,233.0,245.0,278.0,288.0,42.789,0.0598
Bahrain,2023,BOT,Alfa Romeo,44.0,97.868,31.392,42.601,23.875,HARD,15.0,230.0,245.0,277.0,289.0,42.878,0.0796
Bahrain,2023,BOT,Alfa Romeo,45.0,97.688,31.254,42.539,23.895,HARD,16.0,233.0,245.0,277.0,291.0,43.103,0.0693
Bahrain,2023,BOT,Alfa Romeo,46.0,97.83,31.384,42.473,23.973,HARD,17.0,231.0,245.0,278.0,288.0,42.199,0.0733
Bahrain,2023,BOT,Alfa Romeo,47.0,97.815,31.325,42.508,23.982,HARD,18.0,231.0,245.0,278.0,289.0,42.808,0.0679
Bahrain,2023,BOT,Alfa Romeo,48.0,97.5,31.316,42.265,23.919,HARD,19.0,234.0,245.0,278.0,292.0,41.92,0.1503
Bahrain,2023,BOT,Alfa Romeo,49.0,97.85,31.434,42.484,23.932,HARD,20.0,232.0,246.0,278.0,289.0,43.234,0.1467
Bahrain,2023,BOT,Alfa Romeo,50.0,97.71,31.491,42.241,23.978,HARD,21.0,232.0,246.0,278.0,291.0,42.806,0.1452
Bahrain,2023,BOT,Alfa Romeo,51.0,97.816,31.383,42.463,23.97,HARD,22.0,234.0,255.0,278.0,290.0,42.12,0.1432
Bahrain,2023,BOT,Alfa Romeo,52.0,97.947,31.512,42.44,23.995,HARD,23.0,232.0,255.0,278.0,283.0,42.323,0.1704
Bahrain,2023,BOT,Alfa Romeo,53.0,97.856,31.458,42.413,23.985,HARD,24.0,234.0,261.0,278.0,286.0,42.646,0.0854
Bahrain,2023,BOT,Alfa Romeo,54.0,97.738,31.461,42.3,23.977,HARD,25.0,233.0,256.0,278.0,283.0,42.643,0.0949
Bahrain,2023,BOT,Alfa Romeo,55.0,97.807,31.526,42.257,24.024,HARD,26.0,235.0,261.0,278.0,286.0,42.928,0.0767
Bahrain,2023,BOT,Alfa Romeo,56.0,98.16,31.687,42.384,24.089,HARD,27.0,235.0,259.0,278.0,288.0,42.662,0.1633
Bahrain,2023,BOT,Alfa Romeo,57.0,98.407,31.543,42.623,24.241,HARD,28.0,235.0,250.0,280.0,285.0,42.901,0.2818
Bahrain,2023,DEV,AlphaTauri,2.0,101.289,32.136,44.304,24.849,SOFT,2.0,231.0,237.0,281.0,277.0,43.025,
Bahrain,2023,DEV,AlphaTauri,3.0,100.914,31.761,44.368,24.785,SOFT,3.0,230.0,242.0,280.0,291.0,42.732,
Bahrain,2023,DEV,AlphaTauri,4.0,100.373,31.611,43.9,24.862,SOFT,4.0,230.0,237.0,283.0,302.0,42.524,0.4605
Bahrain,2023,DEV,AlphaTauri,5.0,100.63,31.428,44.155,25.047,SOFT,5.0,228.0,239.0,284.0,318.0,42.707,0.393
Bahrain,2023,DEV,AlphaTauri,6.0,101.125,31.563,44.451,25.111,SOFT,6.0,229.0,243.0,284.0,320.0,42.794,0.3698
Bahrain,2023,DEV,AlphaTauri,7.0,101.166,31.511,44.638,25.017,SOFT,7.0,230.0,243.0,283.0,318.0,42.3,0.3373
Bahrain,2023,DEV,AlphaTauri,8.0,101.23,31.601,44.514,25.115,SOFT,8.0,229.0,237.0,283.0,319.0,42.073,0.381
Bahrain,2023,DEV,AlphaTauri,9.0,101.573,31.817,44.54,25.216,SOFT,9.0,228.0,241.0,283.0,317.0,42.422,0.3378
Bahrain,2023,DEV,AlphaTauri,10.0,101.666,31.78,44.807,25.079,SOFT,10.0,230.0,238.0,279.0,319.0,42.341,0.2492
Bahrain,2023,DEV,AlphaTauri,13.0,98.924,31.468,43.189,24.267,HARD,2.0,232.0,241.0,280.0,302.0,42.088,1.1317
Bahrain,2023,DEV,AlphaTauri,14.0,98.829,31.383,43.082,24.364,HARD,3.0,231.0,244.0,280.0,293.0,41.822,1.4409
Bahrain,2023,DEV,AlphaTauri,15.0,98.868,31.425,43.124,24.319,HARD,4.0,229.0,244.0,281.0,297.0,42.563,1.5047
Bahrain,2023,DEV,AlphaTauri,16.0,99.127,31.487,43.229,24.411,HARD,5.0,231.0,247.0,280.0,297.0,42.442,1.2258
Bahrain,2023,DEV,AlphaTauri,17.0,98.996,31.498,43.126,24.372,HARD,6.0,231.0,250.0,279.0,297.0,42.45,0.1178
Bahrain,2023,DEV,AlphaTauri,18.0,99.054,31.426,43.327,24.301,HARD,7.0,231.0,241.0,278.0,295.0,41.765,0.1251
Bahrain,2023,DEV,AlphaTauri,19.0,99.078,31.442,43.253,24.383,HARD,8.0,232.0,245.0,278.0,296.0,40.9,0.0994
Bahrain,2023,DEV,AlphaTauri,20.0,99.182,31.442,43.332,24.408,HARD,9.0,232.0,248.0,278.0,297.0,42.491,0.0708
Bahrain,2023,DEV,AlphaTauri,21.0,99.182,31.508,43.309,24.365,HARD,10.0,231.0,246.0,278.0,295.0,42.577,0.0819
Bahrain,2023,DEV,AlphaTauri,22.0,99.296,31.572,43.328,24.396,HARD,11.0,232.0,246.0,278.0,297.0,42.598,0.0967
Bahrain,2023,DEV,AlphaTauri,23.0,99.542,31.637,43.479,24.426,HARD,12.0,231.0,245.0,278.0,297.0,41.808,0.1775
Bahrain,2023,DEV,AlphaTauri,24.0,99.807,31.847,43.493,24.467,HARD,13.0,231.0,243.0,279.0,295.0,41.958,0.27
Bahrain,2023,DEV,AlphaTauri,25.0,100.96,32.101,44.14,24.719,HARD,14.0,234.0,246.0,281.0,296.0,43.001,0.714
Bahrain,2023,DEV,AlphaTauri,26.0,99.97,31.698,43.692,24.58,HARD,15.0,231.0,247.0,281.0,298.0,41.806,0.6382
Bahrain,2023,DEV,AlphaTauri,29.0,98.121,31.275,42.759,24.087,HARD,2.0,232.0,245.0,280.0,292.0,42.044,1.0232
Bahrain,2023,DEV,AlphaTauri,30.0,97.709,31.186,42.605,23.918,HARD,3.0,234.0,244.0,280.0,300.0,42.251,1.3585
Bahrain,2023,DEV,AlphaTauri,31.0,97.909,31.126,42.804,23.979,HARD,4.0,233.0,248.0,282.0,299.0,41.727,1.4483
Bahrain,2023,DEV,AlphaTauri,32.0,97.902,31.118,42.773,24.011,HARD,5.0,232.0,250.0,282.0,298.0,41.636,0.9326
Bahrain,2023,DEV,AlphaTauri,33.0,97.933,31.115,42.729,24.089,HARD,6.0,234.0,250.0,281.0,300.0,41.461,0.1461
Bahrain,2023,DEV,AlphaTauri,34.0,98.266,31.226,42.896,24.144,HARD,7.0,233.0,251.0,281.0,295.0,42.005,0.2013
Bahrain,2023,DEV,AlphaTauri,35.0,98.123,31.249,42.716,24.158,HARD,8.0,234.0,250.0,281.0,296.0,41.983,0.1618
Bahrain,2023,DEV,AlphaTauri,36.0,98.206,31.265,42.791,24.15,HARD,9.0,233.0,246.0,280.0,296.0,41.987,0.1624
Bahrain,2023,DEV,AlphaTauri,37.0,98.423,31.401,42.905,24.117,HARD,10.0,233.0,243.0,280.0,299.0,41.639,0.1809
Bahrain,2023,DEV,AlphaTauri,38.0,98.379,31.355,42.877,24.147,HARD,11.0,233.0,245.0,280.0,299.0,42.167,0.1231
Bahrain,2023,DEV,AlphaTauri,39.0,98.535,31.31,42.977,24.248,HARD,12.0,233.0,245.0,279.0,297.0,41.85,0.1668
Bahrain,2023,DEV,AlphaTauri,42.0,99.873,32.199,43.466,24.208,HARD,15.0,234.0,242.0,280.0,304.0,41.607,0.6756
