Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Singapore,2023,GAS,Alpine,29.0,101.706,29.071,44.09,28.545,HARD,9.0,309.0,267.0,245.0,296.0,43.899,0.521
Singapore,2023,GAS,Alpine,30.0,100.28,29.215,43.026,28.039,HARD,10.0,305.0,269.0,246.0,293.0,43.458,0.6462
Singapore,2023,GAS,Alpine,31.0,99.974,29.103,42.73,28.141,HARD,11.0,306.0,269.0,244.0,294.0,44.179,0.7868
Singapore,2023,GAS,Alpine,32.0,100.406,28.999,43.214,28.193,HARD,12.0,303.0,271.0,246.0,294.0,43.381,0.7856
Singapore,2023,GAS,Alpine,33.0,100.154,29.095,42.931,28.128,HARD,13.0,303.0,269.0,245.0,294.0,43.815,0.6906
Singapore,2023,GAS,Alpine,34.0,101.321,28.907,44.135,28.279,HARD,14.0,315.0,269.0,246.0,292.0,43.375,0.5246
Singapore,2023,GAS,Alpine,35.0,102.563,28.979,45.176,28.408,HARD,15.0,315.0,269.0,245.0,293.0,43.436,1.0723
Singapore,2023,GAS,Alpine,36.0,99.965,29.393,42.745,27.827,HARD,16.0,311.0,260.0,246.0,290.0,43.472,1.0742
Singapore,2023,GAS,Alpine,37.0,100.508,29.177,43.022,28.309,HARD,17.0,287.0,261.0,247.0,279.0,43.382,1.0639
Singapore,2023,GAS,Alpine,38.0,101.261,29.077,43.842,28.342,HARD,18.0,308.0,270.0,245.0,293.0,43.413,0.9812
Singapore,2023,GAS,Alpine,39.0,102.86,29.203,44.753,28.904,HARD,19.0,304.0,271.0,244.0,293.0,43.268,1.2603
