Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Azerbaijan,2023,HAM,Mercedes,12.0,145.161,48.664,60.866,35.631,HARD,3.0,2.0,,,10.0,4,False,True,90.8,2.724,149.0,166.0,217.0,209.0
Azerbaijan,2023,HAM,Mercedes,13.0,,55.672,61.223,37.502,HARD,4.0,2.0,,,10.0,41,False,True,89.2,2.676,72.0,119.0,298.0,215.0
Azerbaijan,2023,HAM,Mercedes,14.0,109.877,40.368,44.316,25.193,HARD,5.0,2.0,,,8.0,1,True,True,87.6,2.628,190.0,206.0,337.0,326.0
Azerbaijan,2023,HAM,Mercedes,15.0,107.259,38.419,43.547,25.293,HARD,6.0,2.0,,,7.0,1,True,True,86.0,2.58,194.0,207.0,328.0,323.0
Azerbaijan,2023,HAM,Mercedes,16.0,106.709,38.134,43.463,25.112,HARD,7.0,2.0,,,7.0,1,True,True,84.4,2.532,196.0,218.0,343.0,325.0
Azerbaijan,2023,HAM,Mercedes,17.0,107.383,38.365,43.788,25.23,HARD,8.0,2.0,,,7.0,12,True,True,82.8,2.484,195.0,206.0,340.0,323.0
Azerbaijan,2023,HAM,Mercedes,18.0,107.204,38.311,43.556,25.337,HARD,9.0,2.0,,,7.0,1,True,True,81.2,2.436,195.0,209.0,325.0,324.0
Azerbaijan,2023,HAM,Mercedes,19.0,106.747,38.199,43.463,25.085,HARD,10.0,2.0,,,6.0,1,True,True,79.6,2.388,196.0,211.0,338.0,334.0
Azerbaijan,2023,HAM,Mercedes,20.0,106.734,37.842,43.482,25.41,HARD,11.0,2.0,,,6.0,1,True,True,78.0,2.34,193.0,209.0,328.0,323.0
Azerbaijan,2023,HAM,Mercedes,21.0,106.809,37.928,43.555,25.326,HARD,12.0,2.0,,,6.0,1,True,True,76.4,2.292,195.0,210.0,326.0,323.0
Azerbaijan,2023,HAM,Mercedes,22.0,106.8,38.06,43.389,25.351,HARD,13.0,2.0,,,6.0,1,True,True,74.8,2.244,198.0,207.0,327.0,322.0
Azerbaijan,2023,HAM,Mercedes,23.0,106.678,38.154,43.357,25.167,HARD,14.0,2.0,,,6.0,1,True,True,73.2,2.196,197.0,210.0,340.0,323.0
Azerbaijan,2023,HAM,Mercedes,24.0,106.628,37.785,43.554,25.289,HARD,15.0,2.0,,,6.0,1,True,True,71.6,2.148,197.0,211.0,339.0,323.0
Azerbaijan,2023,HAM,Mercedes,25.0,107.177,38.092,43.769,25.316,HARD,16.0,2.0,,,6.0,1,True,True,70.0,2.1,207.0,208.0,327.0,323.0
Azerbaijan,2023,HAM,Mercedes,26.0,108.001,38.616,43.918,25.467,HARD,17.0,2.0,,,6.0,1,True,True,68.4,2.052,198.0,207.0,324.0,321.0
Azerbaijan,2023,HAM,Mercedes,27.0,106.728,38.016,43.292,25.42,HARD,18.0,2.0,,,6.0,1,True,True,66.8,2.004,205.0,208.0,325.0,321.0
Azerbaijan,2023,HAM,Mercedes,28.0,106.904,37.992,43.474,25.438,HARD,19.0,2.0,,,6.0,1,True,True,65.2,1.956,193.0,220.0,324.0,319.0
Azerbaijan,2023,HAM,Mercedes,29.0,106.611,37.785,43.393,25.433,HARD,20.0,2.0,,,6.0,1,True,True,63.6,1.908,208.0,213.0,323.0,320.0
Azerbaijan,2023,HAM,Mercedes,30.0,106.689,37.877,43.378,25.434,HARD,21.0,2.0,,,6.0,1,True,True,62.0,1.86,198.0,208.0,323.0,319.0
Azerbaijan,2023,HAM,Mercedes,31.0,106.558,37.821,43.411,25.326,HARD,22.0,2.0,,,6.0,1,True,True,60.4,1.812,201.0,211.0,324.0,321.0
Azerbaijan,2023,HAM,Mercedes,32.0,106.583,37.8,43.363,25.42,HARD,23.0,2.0,,,6.0,1,True,True,58.8,1.764,194.0,211.0,324.0,318.0
Azerbaijan,2023,HAM,Mercedes,33.0,106.218,37.76,43.112,25.346,HARD,24.0,2.0,,,6.0,1,True,True,57.2,1.716,202.0,213.0,325.0,320.0
Azerbaijan,2023,HAM,Mercedes,34.0,106.27,37.678,43.244,25.348,HARD,25.0,2.0,,,6.0,1,True,True,55.6,1.668,198.0,217.0,325.0,320.0
Azerbaijan,2023,HAM,Mercedes,35.0,105.834,37.629,43.076,25.129,HARD,26.0,2.0,,,6.0,1,True,True,54.0,1.62,202.0,218.0,339.0,321.0
Azerbaijan,2023,HAM,Mercedes,36.0,106.206,37.797,43.343,25.066,HARD,27.0,2.0,,,6.0,1,True,True,52.4,1.572,196.0,216.0,339.0,322.0
Azerbaijan,2023,HAM,Mercedes,37.0,106.29,37.735,43.359,25.196,HARD,28.0,2.0,,,6.0,1,True,True,50.8,1.524,196.0,215.0,332.0,321.0
Azerbaijan,2023,HAM,Mercedes,38.0,106.106,37.686,43.123,25.297,HARD,29.0,2.0,,,6.0,1,True,True,49.2,1.476,204.0,211.0,326.0,321.0
Azerbaijan,2023,HAM,Mercedes,39.0,105.833,37.456,43.183,25.194,HARD,30.0,2.0,,,6.0,1,True,True,47.6,1.428,202.0,219.0,339.0,322.0
Azerbaijan,2023,HAM,Mercedes,40.0,106.284,37.947,43.194,25.143,HARD,31.0,2.0,,,6.0,1,True,True,46.0,1.38,197.0,210.0,340.0,322.0
Azerbaijan,2023,HAM,Mercedes,41.0,106.731,37.926,43.592,25.213,HARD,32.0,2.0,,,6.0,1,True,True,44.4,1.332,200.0,213.0,332.0,323.0
Azerbaijan,2023,HAM,Mercedes,42.0,106.206,37.789,43.227,25.19,HARD,33.0,2.0,,,6.0,1,True,True,42.8,1.284,200.0,219.0,335.0,322.0
Azerbaijan,2023,HAM,Mercedes,43.0,105.714,37.459,43.125,25.13,HARD,34.0,2.0,,,6.0,1,True,True,41.2,1.236,200.0,213.0,336.0,321.0
Azerbaijan,2023,HAM,Mercedes,44.0,105.54,37.377,43.007,25.156,HARD,35.0,2.0,,,6.0,1,True,True,39.6,1.188,200.0,218.0,339.0,322.0
Azerbaijan,2023,HAM,Mercedes,45.0,105.571,37.379,43.106,25.086,HARD,36.0,2.0,,,6.0,1,True,True,38.0,1.14,204.0,217.0,337.0,321.0
Azerbaijan,2023,HAM,Mercedes,46.0,105.951,37.581,43.131,25.239,HARD,37.0,2.0,,,6.0,1,True,True,36.4,1.092,206.0,221.0,324.0,321.0
Azerbaijan,2023,HAM,Mercedes,47.0,105.583,37.324,42.966,25.293,HARD,38.0,2.0,,,6.0,1,True,True,34.8,1.044,203.0,220.0,321.0,320.0
Azerbaijan,2023,HAM,Mercedes,48.0,105.346,37.24,42.81,25.296,HARD,39.0,2.0,,,6.0,1,True,True,33.2,0.996,205.0,222.0,318.0,320.0
Azerbaijan,2023,HAM,Mercedes,49.0,105.439,37.378,42.837,25.224,HARD,40.0,2.0,,,6.0,12,True,True,31.6,0.948,201.0,215.0,325.0,321.0
Azerbaijan,2023,HAM,Mercedes,50.0,105.385,37.189,42.998,25.198,HARD,41.0,2.0,,,6.0,1,True,True,30.0,0.9,202.0,222.0,325.0,322.0
Azerbaijan,2023,HAM,Mercedes,51.0,105.42,37.116,43.229,25.075,HARD,42.0,2.0,,,6.0,1,True,True,28.4,0.852,210.0,217.0,337.0,322.0
Azerbaijan,2023,SAI,Ferrari,1.0,112.645,,43.87,25.57,MEDIUM,1.0,1.0,,,4.0,12,False,True,108.4,3.252,191.0,204.0,318.0,318.0
Azerbaijan,2023,SAI,Ferrari,2.0,107.774,38.547,43.735,25.492,MEDIUM,2.0,1.0,,,4.0,1,True,True,106.8,3.204,196.0,204.0,321.0,320.0
Azerbaijan,2023,SAI,Ferrari,3.0,107.928,38.428,44.0,25.5,MEDIUM,3.0,1.0,,,4.0,1,True,True,105.2,3.156,209.0,202.0,324.0,321.0
Azerbaijan,2023,SAI,Ferrari,4.0,107.898,38.277,44.063,25.558,MEDIUM,4.0,1.0,,,4.0,1,True,True,103.6,3.108,208.0,205.0,322.0,319.0
Azerbaijan,2023,SAI,Ferrari,5.0,107.877,38.313,44.038,25.526,MEDIUM,5.0,1.0,,,4.0,1,True,True,102.0,3.06,206.0,200.0,318.0,318.0
Azerbaijan,2023,SAI,Ferrari,6.0,107.649,38.281,43.782,25.586,MEDIUM,6.0,1.0,,,4.0,1,True,True,100.4,3.012,202.0,204.0,320.0,320.0
Azerbaijan,2023,SAI,Ferrari,7.0,107.262,37.912,43.773,25.577,MEDIUM,7.0,1.0,,,4.0,1,True,True,98.8,2.964,202.0,208.0,323.0,320.0
Azerbaijan,2023,SAI,Ferrari,8.0,107.591,38.159,43.785,25.647,MEDIUM,8.0,1.0,,,4.0,1,True,True,97.2,2.916,204.0,214.0,319.0,320.0
Azerbaijan,2023,SAI,Ferrari,9.0,107.803,38.232,43.933,25.638,MEDIUM,9.0,1.0,,,4.0,1,True,True,95.6,2.868,206.0,207.0,325.0,319.0
Azerbaijan,2023,SAI,Ferrari,10.0,107.412,38.123,43.745,25.544,MEDIUM,10.0,1.0,,,4.0,12,True,True,94.0,2.82,207.0,205.0,319.0,319.0
Azerbaijan,2023,SAI,Ferrari,11.0,,48.133,58.356,43.56,MEDIUM,11.0,1.0,5012.127,,3.0,24,False,True,92.4,2.772,142.0,143.0,,212.0
Azerbaijan,2023,SAI,Ferrari,12.0,,67.36,61.104,37.299,HARD,1.0,2.0,,5034.079,4.0,4,False,True,90.8,2.724,158.0,159.0,198.0,229.0
Azerbaijan,2023,SAI,Ferrari,13.0,,56.446,65.818,41.255,HARD,2.0,2.0,,,4.0,41,False,True,89.2,2.676,87.0,50.0,292.0,175.0
Azerbaijan,2023,SAI,Ferrari,14.0,109.508,40.478,43.894,25.136,HARD,3.0,2.0,,,5.0,1,True,True,87.6,2.628,187.0,205.0,329.0,324.0
Azerbaijan,2023,SAI,Ferrari,15.0,107.279,38.574,43.498,25.207,HARD,4.0,2.0,,,5.0,1,True,True,86.0,2.58,200.0,205.0,326.0,325.0
Azerbaijan,2023,SAI,Ferrari,16.0,106.75,38.012,43.411,25.327,HARD,5.0,2.0,,,5.0,1,True,True,84.4,2.532,203.0,203.0,326.0,324.0
Azerbaijan,2023,SAI,Ferrari,17.0,107.353,38.261,43.716,25.376,HARD,6.0,2.0,,,5.0,12,True,True,82.8,2.484,207.0,209.0,320.0,323.0
Azerbaijan,2023,SAI,Ferrari,18.0,106.971,38.016,43.729,25.226,HARD,7.0,2.0,,,5.0,1,True,True,81.2,2.436,208.0,208.0,324.0,323.0
