Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,BOT,Alfa Romeo,40.0,93.056,29.615,37.557,25.884,SOFT,8.0,294.0,256.0,251.0,304.0,41.112,0.3399
British,2023,BOT,Alfa Romeo,41.0,92.229,29.317,37.418,25.494,SOFT,9.0,313.0,262.0,251.0,323.0,40.969,0.5136
British,2023,BOT,Alfa Romeo,42.0,91.902,29.193,37.413,25.296,SOFT,10.0,311.0,262.0,250.0,321.0,40.786,0.6178
British,2023,BOT,Alfa Romeo,43.0,92.047,29.472,37.073,25.502,SOFT,11.0,294.0,260.0,249.0,302.0,39.625,0.4678
British,2023,BOT,Alfa Romeo,44.0,92.563,29.574,37.415,25.574,SOFT,12.0,296.0,256.0,248.0,304.0,39.989,0.4611
British,2023,BOT,Alfa Romeo,45.0,93.177,29.477,37.792,25.908,SOFT,13.0,299.0,261.0,234.0,304.0,39.669,0.5076
British,2023,BOT,Alfa Romeo,46.0,92.284,29.478,37.322,25.484,SOFT,14.0,291.0,259.0,249.0,301.0,39.977,0.504
British,2023,BOT,Alfa Romeo,47.0,92.079,29.491,37.185,25.403,SOFT,15.0,291.0,257.0,249.0,297.0,38.779,0.4655
British,2023,BOT,Alfa Romeo,48.0,91.974,29.329,37.239,25.406,SOFT,16.0,290.0,259.0,249.0,300.0,39.702,0.4814
British,2023,BOT,Alfa Romeo,49.0,92.167,29.485,37.237,25.445,SOFT,17.0,290.0,259.0,250.0,298.0,39.4,0.4836
British,2023,BOT,Alfa Romeo,50.0,92.163,29.428,37.192,25.543,SOFT,18.0,290.0,258.0,249.0,299.0,38.172,0.1152
British,2023,BOT,Alfa Romeo,51.0,92.133,29.433,37.132,25.568,SOFT,19.0,288.0,261.0,251.0,295.0,38.334,0.0803
British,2023,BOT,Alfa Romeo,52.0,91.852,29.345,37.127,25.38,SOFT,20.0,293.0,261.0,248.0,307.0,40.161,0.1397
British,2023,DEV,AlphaTauri,2.0,96.208,30.296,39.3,26.612,SOFT,2.0,299.0,253.0,242.0,303.0,41.325,
British,2023,DEV,AlphaTauri,3.0,94.746,29.731,38.791,26.224,SOFT,3.0,316.0,255.0,235.0,330.0,41.096,
British,2023,DEV,AlphaTauri,4.0,94.199,29.709,38.422,26.068,SOFT,4.0,316.0,254.0,243.0,325.0,40.946,1.0386
British,2023,DEV,AlphaTauri,5.0,94.761,29.662,38.919,26.18,SOFT,5.0,317.0,256.0,243.0,323.0,42.271,0.8604
